Puzzle #,# of moves (BBS),# of moves (A*)
1,4,4
2,5,5
3,4,4
4,5,5
5,8,8
6,14,14
7,5,5
8,5,5
9,5,5
10,6,6
11,5,5
12,2,2
13,8,8
14,10,10
15,10,10
16,10,10
17,5,5
18,5,5
19,7,7
20,5,5
21,12,12
22,3,3
23,1,1
24,9,9
25,3,3
